clusterID,atomID,clusterSize,atomCoordx,atomCoordy,atomCoordz,xcm,ycm,zcm,rgxx,rgyy,rgzz,rgxy,rgxz,rgyz,l1,l2,l3,rg,asphericity,acylindricity,anisotropy,aspectratio
2831,2830,19,13.518345832824709,13.447746276855469,4.05631685256958,13.818737933510228,11.545016489530864,3.682991981506348,0.584339487520559,0.9213762311422432,0.3341101613930696,-0.2566565632469442,-0.0194154047512352,0.0754519025506756,0.3234717605157677,0.4486592200925208,1.0676948994475834,1.3564018136436828,0.6816294091434392,0.1251874595767531,0.1407321443448896,1.816792790859301
2850,2849,34,18.869861602783203,14.327277183532717,4.418646335601807,20.86732701694264,15.025941792656392,6.258493009735556,1.805626656767908,0.3643783763573586,4.621539747549974,0.1216932368271898,2.386039424740825,0.0223900459621405,0.3005273326279598,0.5058273722220532,5.985190075825228,2.6060592435083363,5.582012723400221,0.2053000395940933,0.676215125923548,4.462692728321802
2891,2890,20,10.702391624450684,-23.475675582885746,-19.354564666748047,11.459311866760254,-23.87341060638428,-18.240435981750487,0.6935438324924145,0.9502654217209422,0.5048435952089131,0.2857352547286246,-0.0886331325791979,-0.4793839664469124,0.1845021384249493,0.585522497335209,1.3786282136621109,1.4658283833458368,0.9936158957820316,0.4010203589102596,0.2399730042306386,2.7335239225875547
2911,2910,20,8.05539608001709,-24.19476127624512,-23.775333404541016,8.239079570770263,-24.52369518280029,-25.431177711486814,0.6533482997784994,0.2749143100248693,0.9992073894693384,-0.0064168908548072,-0.0725270303133947,-0.0618613871594061,0.2692529584361541,0.6396690727915156,1.018547968045037,1.3883335331514206,0.5640869524312022,0.3704161143553615,0.1133470328012592,1.9449592269096687
2930,2929,29,10.904852867126465,-17.880874633789062,-24.07094955444336,10.700925695485084,-16.142836044574604,-24.818441522532492,0.4684920768306774,1.213552330101647,1.891236389391027,-0.3444868574472852,0.4143804077302602,-0.9639623954316668,0.3311497121369365,0.5387500420483449,2.70338104213807,1.8903123541688425,2.26843116504543,0.2076003299114083,0.4055425480248896,2.8572052603679023
2971,2970,31,-24.98663711547852,-16.68389892578125,14.891480445861816,-25.72464358422064,-18.82387410440753,15.665259699667654,0.4688664554459016,3.9128873358894585,0.5686122744985601,-0.5122823893329965,-0.0099581559629745,-0.4692413726824668,0.3553802185053017,0.545916467854776,4.049069379473842,2.224941811786079,3.598421036293803,0.1905362493494742,0.5294946643875614,3.3754445975030287
3010,3009,28,27.58719062805176,-10.063870429992676,19.966136932373047,25.9543502671378,-7.946383271898542,20.08068779536656,0.678055298030901,2.7530190025679766,0.3948124709862412,-0.7669934383317311,0.1054424515538849,-0.2312785365926471,0.3590588932154129,0.4368507787370562,3.0299770996326494,1.955987416008886,2.632022263656415,0.0777918855216432,0.4735865207110816,2.9049377421631424
3051,3050,28,-1.9519836902618408,26.113666534423828,-16.151418685913086,-2.093111949307578,25.67819275174822,-14.360942261559623,0.3599670996565479,0.7044067286897329,2.753079518015599,0.0377839191956613,-0.0437291979656406,0.911404589402896,0.3077938720797745,0.4095385994769936,3.1001208748051114,1.9538304292752429,2.741454639026728,0.1017447273972191,0.5162535727729642,3.173652188243316
3131,3130,12,17.389202117919922,20.85287094116211,-5.293169021606445,17.946903228759766,21.651200771331787,-5.880024870236714,0.390231647514156,0.6216122758081989,0.298988684727664,0.1138390097570057,-0.0518878707795617,0.0133980396960282,0.2636182238609579,0.3788391015794362,0.6683752826096241,1.1449159829655704,0.3471466198894271,0.1152208777184782,0.0759291281090075,1.5922911289830024
3170,3169,24,7.337222576141357,16.08027458190918,-17.0535888671875,7.037570595741272,16.644079963366192,-15.434582551320394,0.9437964650085224,1.1483242097126534,0.93301519299444,-0.7939314232509626,-0.5436341319084477,0.720173169464254,0.223960109769677,0.4017145635450679,2.3994611944008715,1.7392917718760177,2.086623857743499,0.1777544537753908,0.4783611377965542,3.273192365016509
